benchmark,transport,scenario,payload_size,sample,duration_ns,throughput_mbps
payload_scaling,QUIC,localhost,64KB,8,9722894,6.7404
payload_scaling,QUIC,localhost,64KB,9,5135801,12.7606
payload_scaling,QUIC,localhost,64KB,10,2891462,22.6654
payload_scaling,QUIC,localhost,64KB,11,2529995,25.9036
payload_scaling,QUIC,localhost,64KB,12,2755893,23.7803
payload_scaling,QUIC,localhost,64KB,13,9029659,7.2579
payload_scaling,QUIC,localhost,64KB,14,3555630,18.4316
payload_scaling,QUIC,localhost,64KB,15,2216595,29.5661
payload_scaling,QUIC,localhost,64KB,16,4335216,15.1171
payload_scaling,QUIC,localhost,64KB,17,2046032,32.0308
payload_scaling,QUIC,localhost,64KB,18,7992125,8.2001
payload_scaling,QUIC,localhost,64KB,19,4725705,13.8680
payload_scaling,QUIC,localhost,64KB,20,2368678,27.6678
payload_scaling,QUIC,localhost,64KB,21,3717371,17.6297
payload_scaling,QUIC,localhost,64KB,22,2851700,22.9814
payload_scaling,QUIC,localhost,64KB,23,2787355,23.5119
payload_scaling,QUIC,localhost,64KB,24,3476467,18.8513
payload_scaling,QUIC,localhost,64KB,25,4218015,15.5372
payload_scaling,QUIC,localhost,64KB,26,4110587,15.9432
payload_scaling,QUIC,localhost,64KB,27,2315147,28.3075
payload_scaling,QUIC,localhost,64KB,28,2649674,24.7336
payload_scaling,QUIC,localhost,64KB,29,2623949,24.9761
payload_scaling,QUIC,localhost,64KB,30,3288667,19.9278
payload_scaling,QUIC,localhost,64KB,31,7016506,9.3403
payload_scaling,QUIC,localhost,64KB,32,6321189,10.3677
payload_scaling,QUIC,localhost,64KB,33,2298241,28.5157
payload_scaling,QUIC,localhost,64KB,34,2413377,27.1553
payload_scaling,QUIC,localhost,64KB,35,17540912,3.7362
payload_scaling,QUIC,localhost,64KB,36,4669708,14.0343
payload_scaling,QUIC,localhost,64KB,37,2473171,26.4988
payload_scaling,QUIC,localhost,64KB,38,2025693,32.3524
payload_scaling,QUIC,localhost,64KB,39,2557563,25.6244
payload_scaling,QUIC,localhost,64KB,40,6635485,9.8766
payload_scaling,QUIC,localhost,64KB,41,4402329,14.8867
payload_scaling,QUIC,localhost,64KB,42,2498863,26.2263
payload_scaling,QUIC,localhost,64KB,43,4598973,14.2501
payload_scaling,QUIC,localhost,64KB,44,5880260,11.1451
payload_scaling,QUIC,localhost,64KB,45,7567781,8.6599
payload_scaling,QUIC,localhost,64KB,46,4627732,14.1616
payload_scaling,QUIC,localhost,64KB,47,3330984,19.6747
payload_scaling,QUIC,localhost,64KB,48,3729061,17.5744
payload_scaling,QUIC,localhost,64KB,49,7079688,9.2569
payload_scaling,QUIC,localhost,64KB,50,3016327,21.7271
payload_scaling,TCP,10ms,128B,1,158465,0.8077
payload_scaling,TCP,10ms,128B,2,57627,2.2212
payload_scaling,TCP,10ms,128B,3,56230,2.2764
payload_scaling,TCP,10ms,128B,4,56158,2.2793
payload_scaling,TCP,10ms,128B,5,53988,2.3709
payload_scaling,TCP,10ms,128B,6,27337,4.6823
payload_scaling,TCP,10ms,128B,7,24383,5.2496
payload_scaling,TCP,10ms,128B,8,24811,5.1590
payload_scaling,TCP,10ms,128B,9,69977,1.8292
payload_scaling,TCP,10ms,128B,10,23938,5.3471
payload_scaling,TCP,10ms,128B,11,27363,4.6778
