benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus,QUIC,10ms,4,1,32778990
steady_state_consensus,QUIC,10ms,4,2,31816531
steady_state_consensus,QUIC,10ms,4,3,31300799
steady_state_consensus,QUIC,10ms,4,4,31304704
steady_state_consensus,QUIC,10ms,4,5,31578961
steady_state_consensus,QUIC,10ms,4,6,32713209
steady_state_consensus,QUIC,10ms,4,7,31372371
steady_state_consensus,QUIC,10ms,4,8,32290335
steady_state_consensus,QUIC,10ms,4,9,32026269
steady_state_consensus,QUIC,10ms,4,10,31508124
steady_state_consensus,QUIC,10ms,4,11,31546918
steady_state_consensus,QUIC,10ms,4,12,31382133
steady_state_consensus,QUIC,10ms,4,13,31208500
steady_state_consensus,QUIC,10ms,4,14,31243821
steady_state_consensus,QUIC,10ms,4,15,31230666
steady_state_consensus,QUIC,10ms,4,16,31584200
steady_state_consensus,QUIC,10ms,4,17,31636581
steady_state_consensus,QUIC,10ms,4,18,31193834
steady_state_consensus,QUIC,10ms,4,19,31291284
steady_state_consensus,QUIC,10ms,4,20,31088149
steady_state_consensus,QUIC,10ms,4,21,31190513
steady_state_consensus,QUIC,10ms,4,22,31094471
steady_state_consensus,QUIC,10ms,4,23,31191559
steady_state_consensus,QUIC,10ms,4,24,31239071
steady_state_consensus,QUIC,10ms,4,25,30962247
steady_state_consensus,QUIC,10ms,4,26,30843543
steady_state_consensus,QUIC,10ms,4,27,31060560
steady_state_consensus,QUIC,10ms,4,28,31725701
steady_state_consensus,QUIC,10ms,4,29,31434306
steady_state_consensus,QUIC,10ms,4,30,31334089
steady_state_consensus,QUIC,10ms,4,31,31389800
steady_state_consensus,QUIC,10ms,4,32,31455665
steady_state_consensus,QUIC,10ms,4,33,31382659
steady_state_consensus,QUIC,10ms,4,34,31404380
steady_state_consensus,QUIC,10ms,4,35,31222204
steady_state_consensus,QUIC,10ms,4,36,31103219
steady_state_consensus,QUIC,10ms,4,37,31134617
steady_state_consensus,QUIC,10ms,4,38,31083124
steady_state_consensus,QUIC,10ms,4,39,31099143
steady_state_consensus,QUIC,10ms,4,40,31331090
steady_state_consensus,QUIC,10ms,4,41,31209267
steady_state_consensus,QUIC,10ms,4,42,31876096
steady_state_consensus,QUIC,10ms,4,43,31508661
steady_state_consensus,QUIC,10ms,4,44,31679073
steady_state_consensus,QUIC,10ms,4,45,31250077
steady_state_consensus,QUIC,10ms,4,46,31437876
steady_state_consensus,QUIC,10ms,4,47,31268326
steady_state_consensus,QUIC,10ms,4,48,31272395
steady_state_consensus,QUIC,10ms,4,49,31163593
steady_state_consensus,QUIC,10ms,4,50,31016112
steady_state_consensus,TCP,50ms,4,1,153609149
steady_state_consensus,TCP,50ms,4,2,152337142
steady_state_consensus,TCP,50ms,4,3,152025579
steady_state_consensus,TCP,50ms,4,4,151864374
steady_state_consensus,TCP,50ms,4,5,151513551
steady_state_consensus,TCP,50ms,4,6,151475956
steady_state_consensus,TCP,50ms,4,7,151629412
steady_state_consensus,TCP,50ms,4,8,151728295
steady_state_consensus,TCP,50ms,4,9,151322680
steady_state_consensus,TCP,50ms,4,10,151463546
steady_state_consensus,TCP,50ms,4,11,151836719
steady_state_consensus,TCP,50ms,4,12,152320681
steady_state_consensus,TCP,50ms,4,13,151491247
steady_state_consensus,TCP,50ms,4,14,152782087
steady_state_consensus,TCP,50ms,4,15,151620277
steady_state_consensus,TCP,50ms,4,16,151565395
steady_state_consensus,TCP,50ms,4,17,151782739
steady_state_consensus,TCP,50ms,4,18,151746073
steady_state_consensus,TCP,50ms,4,19,151464815
steady_state_consensus,TCP,50ms,4,20,152024364
steady_state_consensus,TCP,50ms,4,21,151645549
steady_state_consensus,TCP,50ms,4,22,151680809
steady_state_consensus,TCP,50ms,4,23,151565406
steady_state_consensus,TCP,50ms,4,24,151412978
steady_state_consensus,TCP,50ms,4,25,151636856
steady_state_consensus,TCP,50ms,4,26,151516389
steady_state_consensus,TCP,50ms,4,27,151388010
steady_state_consensus,TCP,50ms,4,28,151397084
steady_state_consensus,TCP,50ms,4,29,151379360
steady_state_consensus,TCP,50ms,4,30,151454620
steady_state_consensus,TCP,50ms,4,31,151582343
steady_state_consensus,TCP,50ms,4,32,151484473
steady_state_consensus,TCP,50ms,4,33,151444742
steady_state_consensus,TCP,50ms,4,34,151367532
steady_state_consensus,TCP,50ms,4,35,151752104
