benchmark,transport,scenario,sample,value_ns
message_latency,QUIC,10ms,74,10198332
message_latency,QUIC,10ms,75,10417188
message_latency,QUIC,10ms,76,10280657
message_latency,QUIC,10ms,77,10387329
message_latency,QUIC,10ms,78,10198563
message_latency,QUIC,10ms,79,10161160
message_latency,QUIC,10ms,80,10091122
message_latency,QUIC,10ms,81,10320258
message_latency,QUIC,10ms,82,10183919
message_latency,QUIC,10ms,83,10171898
message_latency,QUIC,10ms,84,10203650
message_latency,QUIC,10ms,85,10324229
message_latency,QUIC,10ms,86,10110028
message_latency,QUIC,10ms,87,10322843
message_latency,QUIC,10ms,88,10332817
message_latency,QUIC,10ms,89,10612365
message_latency,QUIC,10ms,90,10321403
message_latency,QUIC,10ms,91,10199900
message_latency,QUIC,10ms,92,10358699
message_latency,QUIC,10ms,93,10316301
message_latency,QUIC,10ms,94,10451496
message_latency,QUIC,10ms,95,10333442
message_latency,QUIC,10ms,96,10335547
message_latency,QUIC,10ms,97,10137799
message_latency,QUIC,10ms,98,10199974
message_latency,QUIC,10ms,99,10142888
message_latency,QUIC,10ms,100,10165485
message_latency,TCP,50ms,1,50301940
message_latency,TCP,50ms,2,50206445
message_latency,TCP,50ms,3,50151075
message_latency,TCP,50ms,4,50113163
message_latency,TCP,50ms,5,50093185
message_latency,TCP,50ms,6,50119441
message_latency,TCP,50ms,7,50115621
message_latency,TCP,50ms,8,50147374
message_latency,TCP,50ms,9,50146177
message_latency,TCP,50ms,10,50155301
message_latency,TCP,50ms,11,50112929
message_latency,TCP,50ms,12,50133463
message_latency,TCP,50ms,13,50169394
message_latency,TCP,50ms,14,50200030
message_latency,TCP,50ms,15,50131948
message_latency,TCP,50ms,16,50147993
message_latency,TCP,50ms,17,50151721
message_latency,TCP,50ms,18,50203133
message_latency,TCP,50ms,19,50234914
message_latency,TCP,50ms,20,50205313
message_latency,TCP,50ms,21,50146435
message_latency,TCP,50ms,22,50209443
message_latency,TCP,50ms,23,50222203
message_latency,TCP,50ms,24,50186120
message_latency,TCP,50ms,25,50169849
message_latency,TCP,50ms,26,50194860
message_latency,TCP,50ms,27,50164266
message_latency,TCP,50ms,28,50183028
message_latency,TCP,50ms,29,50154777
message_latency,TCP,50ms,30,50136455
message_latency,TCP,50ms,31,50213485
message_latency,TCP,50ms,32,50173124
message_latency,TCP,50ms,33,50200832
message_latency,TCP,50ms,34,50181880
message_latency,TCP,50ms,35,50156164
message_latency,TCP,50ms,36,50140561
message_latency,TCP,50ms,37,50145270
message_latency,TCP,50ms,38,50169557
message_latency,TCP,50ms,39,50269660
message_latency,TCP,50ms,40,50735527
message_latency,TCP,50ms,41,50158306
message_latency,TCP,50ms,42,50150903
message_latency,TCP,50ms,43,50141786
message_latency,TCP,50ms,44,50149435
message_latency,TCP,50ms,45,50203805
message_latency,TCP,50ms,46,50132895
message_latency,TCP,50ms,47,50142014
message_latency,TCP,50ms,48,50218873
message_latency,TCP,50ms,49,50147061
message_latency,TCP,50ms,50,50194404
message_latency,TCP,50ms,51,50143119
message_latency,TCP,50ms,52,50160572
message_latency,TCP,50ms,53,50130112
message_latency,TCP,50ms,54,50101749
message_latency,TCP,50ms,55,50124877
message_latency,TCP,50ms,56,50106142
message_latency,TCP,50ms,57,50134132
message_latency,TCP,50ms,58,50096113
message_latency,TCP,50ms,59,50183434
message_latency,TCP,50ms,60,50261397
message_latency,TCP,50ms,61,50211945
message_latency,TCP,50ms,62,50143948
message_latency,TCP,50ms,63,50164770
message_latency,TCP,50ms,64,50145711
message_latency,TCP,50ms,65,50151934
message_latency,TCP,50ms,66,50138887
message_latency,TCP,50ms,67,50197226
message_latency,TCP,50ms,68,50126991
message_latency,TCP,50ms,69,50174249
message_latency,TCP,50ms,70,50137096
message_latency,TCP,50ms,71,50214946
message_latency,TCP,50ms,72,50162720
message_latency,TCP,50ms,73,50151702
message_latency,TCP,50ms,74,50152639
message_latency,TCP,50ms,75,50143978
message_latency,TCP,50ms,76,50118610
message_latency,TCP,50ms,77,50122597
message_latency,TCP,50ms,78,50110098
message_latency,TCP,50ms,79,50200332
message_latency,TCP,50ms,80,50144506
message_latency,TCP,50ms,81,50151471
message_latency,TCP,50ms,82,50112521
message_latency,TCP,50ms,83,50167199
message_latency,TCP,50ms,84,50162640
message_latency,TCP,50ms,85,50169735
message_latency,TCP,50ms,86,50124622
message_latency,TCP,50ms,87,50168788
message_latency,TCP,50ms,88,50164739
message_latency,TCP,50ms,89,50190983
message_latency,TCP,50ms,90,50152515
message_latency,TCP,50ms,91,50206930
message_latency,TCP,50ms,92,50236231
message_latency,TCP,50ms,93,50189722
message_latency,TCP,50ms,94,50132891
message_latency,TCP,50ms,95,50189397
message_latency,TCP,50ms,96,50160182
message_latency,TCP,50ms,97,50190021
message_latency,TCP,50ms,98,50128612
message_latency,TCP,50ms,99,50177925
message_latency,TCP,50ms,100,50208175
message_latency,QUIC,50ms,1,50457684
message_latency,QUIC,50ms,2,50453602
message_latency,QUIC,50ms,3,50420299
message_latency,QUIC,50ms,4,50298285
message_latency,QUIC,50ms,5,50342796
message_latency,QUIC,50ms,6,50279730
message_latency,QUIC,50ms,7,50336162
message_latency,QUIC,50ms,8,50444349
message_latency,QUIC,50ms,9,50472205
message_latency,QUIC,50ms,10,50470928
message_latency,QUIC,50ms,11,50443214
message_latency,QUIC,50ms,12,50468332
message_latency,QUIC,50ms,13,50488374
message_latency,QUIC,50ms,14,50536382
message_latency,QUIC,50ms,15,50569514
message_latency,QUIC,50ms,16,50381967
message_latency,QUIC,50ms,17,50432727
message_latency,QUIC,50ms,18,50394967
message_latency,QUIC,50ms,19,50366840
message_latency,QUIC,50ms,20,50394286
message_latency,QUIC,50ms,21,50457751
message_latency,QUIC,50ms,22,50408146
message_latency,QUIC,50ms,23,50509075
message_latency,QUIC,50ms,24,50390427
message_latency,QUIC,50ms,25,50456715
message_latency,QUIC,50ms,26,50334650
message_latency,QUIC,50ms,27,50388301
message_latency,QUIC,50ms,28,50286000
message_latency,QUIC,50ms,29,50243731
message_latency,QUIC,50ms,30,50447635
message_latency,QUIC,50ms,31,50493931
message_latency,QUIC,50ms,32,50283521
message_latency,QUIC,50ms,33,50388939
message_latency,QUIC,50ms,34,50333343
message_latency,QUIC,50ms,35,50362742
message_latency,QUIC,50ms,36,50462952
message_latency,QUIC,50ms,37,50432443
message_latency,QUIC,50ms,38,50351768
message_latency,QUIC,50ms,39,50340278
message_latency,QUIC,50ms,40,50274608
message_latency,QUIC,50ms,41,50267924
message_latency,QUIC,50ms,42,50303163
message_latency,QUIC,50ms,43,50331837
message_latency,QUIC,50ms,44,50248063
message_latency,QUIC,50ms,45,50272947
message_latency,QUIC,50ms,46,50466613
message_latency,QUIC,50ms,47,50353071
message_latency,QUIC,50ms,48,50258301
message_latency,QUIC,50ms,49,50349256
message_latency,QUIC,50ms,50,50369302
message_latency,QUIC,50ms,51,50432598
message_latency,QUIC,50ms,52,50365152
message_latency,QUIC,50ms,53,50349372
message_latency,QUIC,50ms,54,50451957
message_latency,QUIC,50ms,55,50441390
message_latency,QUIC,50ms,56,50365556
message_latency,QUIC,50ms,57,50522763
message_latency,QUIC,50ms,58,50416669
message_latency,QUIC,50ms,59,50549065
message_latency,QUIC,50ms,60,50425598
message_latency,QUIC,50ms,61,50357318
message_latency,QUIC,50ms,62,50589992
message_latency,QUIC,50ms,63,50390283
message_latency,QUIC,50ms,64,50243618
message_latency,QUIC,50ms,65,50400026
message_latency,QUIC,50ms,66,50345230
message_latency,QUIC,50ms,67,50367771
message_latency,QUIC,50ms,68,50315795
message_latency,QUIC,50ms,69,50255048
message_latency,QUIC,50ms,70,50309255
message_latency,QUIC,50ms,71,50392905
message_latency,QUIC,50ms,72,50268476
message_latency,QUIC,50ms,73,50470532
message_latency,QUIC,50ms,74,50367315
message_latency,QUIC,50ms,75,50300733
message_latency,QUIC,50ms,76,50271899
message_latency,QUIC,50ms,77,50365300
message_latency,QUIC,50ms,78,50382247
message_latency,QUIC,50ms,79,50408622
message_latency,QUIC,50ms,80,50409888
message_latency,QUIC,50ms,81,50491122
message_latency,QUIC,50ms,82,50374301
message_latency,QUIC,50ms,83,50405832
message_latency,QUIC,50ms,84,50208578
message_latency,QUIC,50ms,85,50479988
