benchmark,transport,scenario,nodes,sample,value_ns
consensus_with_setup,QUIC,50ms,4,19,269882124
consensus_with_setup,QUIC,50ms,4,20,272126537
consensus_with_setup,QUIC,50ms,4,21,270807364
consensus_with_setup,QUIC,50ms,4,22,270394348
consensus_with_setup,QUIC,50ms,4,23,266103864
consensus_with_setup,QUIC,50ms,4,24,270648195
consensus_with_setup,QUIC,50ms,4,25,269079299
consensus_with_setup,QUIC,50ms,4,26,271191379
consensus_with_setup,QUIC,50ms,4,27,268462098
consensus_with_setup,QUIC,50ms,4,28,270901960
consensus_with_setup,QUIC,50ms,4,29,278454986
consensus_with_setup,QUIC,50ms,4,30,273862828
consensus_with_setup,TCP,5pct_loss,4,1,297185422
consensus_with_setup,TCP,5pct_loss,4,2,109461400
consensus_with_setup,TCP,5pct_loss,4,3,110509798
consensus_with_setup,TCP,5pct_loss,4,4,1103599388
consensus_with_setup,TCP,5pct_loss,4,5,52301691
consensus_with_setup,TCP,5pct_loss,4,6,361347781
consensus_with_setup,TCP,5pct_loss,4,7,1103864576
consensus_with_setup,TCP,5pct_loss,4,8,1121960083
consensus_with_setup,TCP,5pct_loss,4,9,72596654
consensus_with_setup,TCP,5pct_loss,4,10,2154793335
consensus_with_setup,TCP,5pct_loss,4,11,1131132157
consensus_with_setup,TCP,5pct_loss,4,12,52667067
consensus_with_setup,TCP,5pct_loss,4,13,1122757177
consensus_with_setup,TCP,5pct_loss,4,14,71508129
consensus_with_setup,TCP,5pct_loss,4,15,81987391
consensus_with_setup,TCP,5pct_loss,4,16,72359425
consensus_with_setup,TCP,5pct_loss,4,17,1103642776
consensus_with_setup,TCP,5pct_loss,4,18,1103834982
consensus_with_setup,TCP,5pct_loss,4,19,52219018
consensus_with_setup,TCP,5pct_loss,4,20,1094119899
consensus_with_setup,TCP,5pct_loss,4,21,70202733
consensus_with_setup,TCP,5pct_loss,4,22,1093468911
consensus_with_setup,TCP,5pct_loss,4,23,1093262129
consensus_with_setup,TCP,5pct_loss,4,24,52807375
