benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus_7n,TCP,5pct_loss,7,22,56297599
steady_state_consensus_7n,TCP,5pct_loss,7,23,52054689
steady_state_consensus_7n,TCP,5pct_loss,7,24,60863911
steady_state_consensus_7n,TCP,5pct_loss,7,25,50495130
steady_state_consensus_7n,TCP,5pct_loss,7,26,129185892
steady_state_consensus_7n,TCP,5pct_loss,7,27,71733612
steady_state_consensus_7n,TCP,5pct_loss,7,28,60527054
steady_state_consensus_7n,TCP,5pct_loss,7,29,60944623
steady_state_consensus_7n,TCP,5pct_loss,7,30,60590794
steady_state_consensus_7n,QUIC,5pct_loss,7,1,33683053
steady_state_consensus_7n,QUIC,5pct_loss,7,2,31905595
steady_state_consensus_7n,QUIC,5pct_loss,7,3,31860630
steady_state_consensus_7n,QUIC,5pct_loss,7,4,31927053
steady_state_consensus_7n,QUIC,5pct_loss,7,5,32299884
steady_state_consensus_7n,QUIC,5pct_loss,7,6,32008459
steady_state_consensus_7n,QUIC,5pct_loss,7,7,31897944
steady_state_consensus_7n,QUIC,5pct_loss,7,8,31807878
steady_state_consensus_7n,QUIC,5pct_loss,7,9,40942175
steady_state_consensus_7n,QUIC,5pct_loss,7,10,32292535
steady_state_consensus_7n,QUIC,5pct_loss,7,11,100038816
steady_state_consensus_7n,QUIC,5pct_loss,7,12,41459320
steady_state_consensus_7n,QUIC,5pct_loss,7,13,42086904
steady_state_consensus_7n,QUIC,5pct_loss,7,14,33591566
steady_state_consensus_7n,QUIC,5pct_loss,7,15,52172432
steady_state_consensus_7n,QUIC,5pct_loss,7,16,52190258
steady_state_consensus_7n,QUIC,5pct_loss,7,17,31675719
steady_state_consensus_7n,QUIC,5pct_loss,7,18,51259840
steady_state_consensus_7n,QUIC,5pct_loss,7,19,31544391
steady_state_consensus_7n,QUIC,5pct_loss,7,20,32285479
steady_state_consensus_7n,QUIC,5pct_loss,7,21,31941919
steady_state_consensus_7n,QUIC,5pct_loss,7,22,50843130
steady_state_consensus_7n,QUIC,5pct_loss,7,23,31878299
steady_state_consensus_7n,QUIC,5pct_loss,7,24,31934274
steady_state_consensus_7n,QUIC,5pct_loss,7,25,31803195
steady_state_consensus_7n,QUIC,5pct_loss,7,26,41092910
steady_state_consensus_7n,QUIC,5pct_loss,7,27,32205786
steady_state_consensus_7n,QUIC,5pct_loss,7,28,32686403
steady_state_consensus_7n,QUIC,5pct_loss,7,29,31906268
steady_state_consensus_7n,QUIC,5pct_loss,7,30,66149398
steady_state_consensus_7n,TCP,wan,7,1,122708375
steady_state_consensus_7n,TCP,wan,7,2,128465355
steady_state_consensus_7n,TCP,wan,7,3,129811983
steady_state_consensus_7n,TCP,wan,7,4,126782482
steady_state_consensus_7n,TCP,wan,7,5,127690761
steady_state_consensus_7n,TCP,wan,7,6,153371450
steady_state_consensus_7n,TCP,wan,7,7,128610675
steady_state_consensus_7n,TCP,wan,7,8,128601557
steady_state_consensus_7n,TCP,wan,7,9,127783956
steady_state_consensus_7n,TCP,wan,7,10,136439003
steady_state_consensus_7n,TCP,wan,7,11,124101584
steady_state_consensus_7n,TCP,wan,7,12,127225667
steady_state_consensus_7n,TCP,wan,7,13,126045700
steady_state_consensus_7n,TCP,wan,7,14,128612673
steady_state_consensus_7n,TCP,wan,7,15,126577900
steady_state_consensus_7n,TCP,wan,7,16,125287159
steady_state_consensus_7n,TCP,wan,7,17,125400426
steady_state_consensus_7n,TCP,wan,7,18,127922598
steady_state_consensus_7n,TCP,wan,7,19,126572080
steady_state_consensus_7n,TCP,wan,7,20,127383963
steady_state_consensus_7n,TCP,wan,7,21,127717809
steady_state_consensus_7n,TCP,wan,7,22,127009108
steady_state_consensus_7n,TCP,wan,7,23,125526509
steady_state_consensus_7n,TCP,wan,7,24,128849450
steady_state_consensus_7n,TCP,wan,7,25,128415342
steady_state_consensus_7n,TCP,wan,7,26,127146394
steady_state_consensus_7n,TCP,wan,7,27,127839829
steady_state_consensus_7n,TCP,wan,7,28,124587699
steady_state_consensus_7n,TCP,wan,7,29,127961465
steady_state_consensus_7n,TCP,wan,7,30,129787357
steady_state_consensus_7n,QUIC,wan,7,1,146665568
steady_state_consensus_7n,QUIC,wan,7,2,126716008
steady_state_consensus_7n,QUIC,wan,7,3,130047144
steady_state_consensus_7n,QUIC,wan,7,4,129875747
steady_state_consensus_7n,QUIC,wan,7,5,126695079
steady_state_consensus_7n,QUIC,wan,7,6,128139661
